Orthogroup	V_vinifera.proteins	A_vesiculosa.proteins
OG0000108	VIT_210s0003g02540.1, VIT_210s0003g02570.1, VIT_210s0003g02580.1	Av_00003730-RA
OG0000109	VIT_203s0038g00700.1	Av_00018758-RA, Av_00008820-RA
OG0000109	VIT_204s0023g03060.2, VIT_204s0023g03060.3, VIT_204s0023g03060.4, VIT_204s0023g03060.1	Av_00021187-RA, Av_00001943-RA
OG0000109	VIT_218s0001g13580.1	Av_00011101-RA, Av_00009901-RA
OG0000110	VIT_218s0122g00420.1, VIT_218s0122g00520.1	Av_00020501-RA, Av_00008377-RA
OG0000110	VIT_218s0122g00370.1	Av_00008370-RA
OG0000110	VIT_218s0075g00230.1, VIT_218s0075g00230.2, VIT_218s0122g00250.1, VIT_218s0001g02290.1, VIT_218s0001g02350.1	Av_00011529-RA
OG0000112	VIT_219s0027g00800.1	Av_00024331-RA, Av_00015178-RA, Av_00022110-RA, Av_00024955-RA, Av_00024581-RA, Av_00024710-RA, Av_00023696-RA, Av_00018536-RA, Av_00021762-RA, Av_00024954-RA, Av_00024992-RA, Av_00019578-RA, Av_00020886-RA, Av_00015155-RA, Av_00018537-RA, Av_00024991-RA, Av_00018535-RA, Av_00024096-RA
OG0000112	VIT_214s0108g00960.1	Av_00022329-RA
OG0000113	VIT_204s0008g05640.1	Av_00023507-RA
OG0000113	VIT_212s0035g02000.1, VIT_202s0154g00320.1	Av_00006065-RA, Av_00014534-RA, Av_00018581-RA
OG0000114	VIT_200s0347g00060.1, VIT_200s0743g00020.1, VIT_200s0353g00020.1, VIT_200s0420g00030.1, VIT_200s0420g00010.1	Av_00003668-RA, Av_00015326-RA
OG0000115	VIT_208s0040g00710.1, VIT_208s0040g00715.1	Av_00020146-RA
OG0000116	VIT_206s0004g03890.1	Av_00016395-RA, Av_00017765-RA, Av_00007169-RA, Av_00013351-RA, Av_00012531-RA, Av_00009763-RA, Av_00002841-RA, Av_00013418-RA
OG0000118	VIT_219s0015g01190.1	Av_00017992-RA, Av_00017242-RA
OG0000118	VIT_202s0025g01050.1	Av_00022902-RA, Av_00012860-RA, Av_00001648-RA, Av_00009432-RA
OG0000120	VIT_208s0007g06170.2, VIT_208s0007g06170.1, VIT_208s0007g06170.4, VIT_208s0007g06170.3	Av_00014461-RA, Av_00022346-RA
OG0000120	VIT_208s0007g06140.1	Av_00021880-RA
OG0000120	VIT_213s0064g01380.1	Av_00022290-RA
OG0000120	VIT_215s0046g03030.1, VIT_215s0046g03030.2	Av_00020803-RA
OG0000121	VIT_214s0036g01040.1, VIT_214s0036g01050.1, VIT_201s0011g00800.1, VIT_206s0009g00800.1	Av_00021066-RA
OG0000121	VIT_206s0009g00810.1, VIT_206s0009g00810.5, VIT_206s0009g00810.2, VIT_206s0009g00810.6, VIT_206s0009g00810.4, VIT_206s0009g00810.3	Av_00013289-RA
OG0000122	VIT_211s0037g01170.1	Av_00015420-RA
OG0000122	VIT_218s0001g08620.1	Av_00015160-RA, Av_00024373-RA
OG0000123	VIT_216s0100g00750.1, VIT_216s0100g01170.3, VIT_216s0100g01170.4, VIT_216s0100g01170.1, VIT_216s0100g01160.1, VIT_216s0100g01070.1, VIT_210s0042g00920.1, VIT_210s0042g00930.1, VIT_216s0100g00780.1, VIT_216s0100g00910.1, VIT_216s0100g00830.1, VIT_216s0100g01150.1, VIT_216s0100g01120.1, VIT_216s0100g01140.1, VIT_216s0100g01170.2, VIT_216s0100g01020.2, VIT_216s0100g00770.1, VIT_216s0100g00990.1, VIT_216s0100g01010.1, VIT_216s0100g01020.3, VIT_216s0100g00900.1, VIT_216s0100g00930.1, VIT_216s0100g00880.1, VIT_216s0100g01020.1, VIT_216s0100g01000.1, VIT_216s0100g01040.1, VIT_216s0100g00920.1, VIT_216s0100g00840.1, VIT_216s0100g00940.1, VIT_216s0100g00850.1	Av_00009476-RA, Av_00001677-RA, Av_00001678-RA, Av_00018866-RA
OG0000123	VIT_205s0136g00260.1	Av_00020305-RA, Av_00003479-RA, Av_00006755-RA, Av_00023019-RA
OG0000124	VIT_203s0063g00820.1	Av_00010170-RA
OG0000125	VIT_207s0104g00830.1	Av_00006820-RA
OG0000125	VIT_214s0030g00210.1, VIT_214s0030g00210.3, VIT_214s0030g00210.2	Av_00020356-RA
OG0000125	VIT_214s0030g00320.1, VIT_214s0030g00200.1, VIT_214s0030g00230.1, VIT_214s0030g00230.2, VIT_214s0030g00240.1, VIT_214s0030g00260.1, VIT_214s0030g00280.1, VIT_214s0030g00250.1	Av_00016779-RA
OG0000127	VIT_207s0104g01340.1	Av_00014440-RA, Av_00001249-RA, Av_00002562-RA, Av_00018470-RA, Av_00006317-RA
OG0000127	VIT_204s0043g00980.1	Av_00009246-RA, Av_00015031-RA, Av_00000921-RA, Av_00000920-RA
OG0000129	VIT_204s0069g00010.1, VIT_204s0069g00540.2, VIT_204s0069g00610.1, VIT_204s0069g00550.1, VIT_204s0069g00170.1, VIT_204s0069g00330.1, VIT_204s0069g00540.3, VIT_204s0069g00540.1, VIT_204s0069g00720.1, VIT_204s0069g00260.1, VIT_204s0069g00200.1, VIT_204s0069g00380.1, VIT_204s0069g00375.1, VIT_204s0069g00230.1, VIT_204s0069g00560.1, VIT_204s0069g00670.1, VIT_204s0069g00060.1, VIT_204s0069g00390.1, VIT_204s0069g00620.1, VIT_211s0052g00985.1, VIT_211s0052g01020.1, VIT_211s0052g01020.4, VIT_211s0052g01020.2, VIT_211s0052g01020.3	Av_00001105-RA, Av_00008320-RA, Av_00008319-RA, Av_00017954-RA, Av_00024632-RA, Av_00003603-RA
OG0000131	VIT_209s0002g01320.1, VIT_218s0086g00410.1, VIT_207s0005g05920.1, VIT_207s0005g05910.1, VIT_207s0005g05930.1, VIT_207s0005g05985.1, VIT_212s0059g00740.1, VIT_218s0086g00590.1, VIT_209s0002g01330.1, VIT_209s0002g01340.1	Av_00008767-RA
