"","beta0","betaTime","betaTime2","betaTime3","betaTime4","betaTime5","betaTime6"
"Dm_00017895-RA",0,0,2.1267707198047e-05,-2.61590424500122e-08,9.97928919209164e-12,-1.16751371241573e-15,0
"Dm_00018047-RA",4.61545413005891,0,1.34306984306515e-06,-1.83330225706666e-09,7.05737813156295e-13,-8.19897918358419e-17,0
"Dm_00015937-RA",3.79968377206542,0,-1.87160148094497e-05,2.41470998796742e-08,-9.24390601800252e-12,1.07481772664791e-15,0
"Dm_00015938-RA",3.55523277146797,0,0,-4.05085477282816e-09,5.11091221695066e-12,-1.93498677216615e-15,2.24097698619775e-19
"Dm_00016296-RA",5.62551011269896,0.000925004181131823,-1.38436668983479e-07,0,0,0,0
"Dm_00016202-RA",4.16188890388888,-0.013668239549593,0.0001283884357601,-2.71425445264466e-07,2.11514004235804e-10,-6.57399381252456e-14,6.89102397826495e-18
"Dm_00018034-RA",2.67740059442331,0,8.30440623056789e-05,-2.05171323412571e-07,1.6809118878345e-10,-5.33857391877447e-14,5.65775634341871e-18
"Dm_00017485-RA",0,0.0688934571121676,-0.000370488192961743,6.59227132886557e-07,-4.76515815762003e-10,1.42730191598704e-13,-1.46644846428956e-17
"Dm_00018068-RA",4.3979415418151,0.0270632147903394,-0.000194579560250961,3.7870959751385e-07,-2.83898426073314e-10,8.64887133918037e-14,-8.96502429284912e-18
"Dm_00015696-RA",3.39983464263884,0,-5.64976338712676e-06,7.01042271085203e-09,-2.63712541844525e-12,3.04086868076475e-16,0
"Dm_00016714-RA",4.22113715756002,0,0,1.03000230756422e-10,-1.90560537559226e-14,0,0
"Dm_00016479-RA",3.41031887472883,0.0567749992197566,-0.000360023766379764,6.83936714077259e-07,-5.10165180156773e-10,1.55293287894257e-13,-1.60984122156009e-17
"Dm_00014734-RA",3.79629214246328,0.00510365110951705,-1.41507477380414e-05,1.22514835262742e-08,-4.01138199385204e-12,4.32748693349498e-16,0
"Dm_00016567-RA",3.42992630744435,0.0277734313117732,-0.000176796177905797,3.39378724358201e-07,-2.55050360992497e-10,7.79868532009068e-14,-8.10635040490623e-18
"Dm_00015780-RA",5.4287915318864,0,0,-8.4145608766789e-09,1.01530846863799e-11,-3.75648002340219e-15,4.2936125495596e-19
"Dm_00013668-RA",3.48604606444644,0.0241827115689467,-0.000156187805692677,2.97427605132861e-07,-2.22246464285511e-10,6.77329935932841e-14,-7.02700469218182e-18
"Dm_00014318-RA",3.24840599263116,0.000300854514943951,0,0,0,0,0
"Dm_00014320-RA",1.36269389759902,0.0329103575411544,-0.000202286642794691,3.95498331668034e-07,-3.0143530482131e-10,9.29527377881805e-14,-9.71109771305802e-18
"Dm_00015742-RA",7.56746504882355,0,0,-5.41639151218834e-09,6.65077845828114e-12,-2.48393000915623e-15,2.85566813868066e-19
"Dm_00010458-RA",5.10463336212563,0.000263829382504765,0,0,0,0,0
"Dm_00010459-RA",3.35445931145059,0.000268413027958578,0,0,0,0,0
"Dm_00010333-RA",0,0.132347912991079,-0.000831370289181795,1.59621491165538e-06,-1.19997002074804e-09,3.6697751321136e-13,-3.81489489418661e-17
"Dm_00007357-RA",3.91439986084133,0.00824822226094635,-6.85112541989281e-05,1.44036332253797e-07,-1.1277585942985e-10,3.52010880567841e-14,-3.7006281251184e-18
"Dm_00008931-RA",2.12632325192291,0.0360577196000668,-0.000248483616593622,4.88906710229938e-07,-3.7147663689892e-10,1.14212407662362e-13,-1.19077872767462e-17
"Dm_00010503-RA",3.2522826316769,0,8.76368300883006e-05,-2.2677265439925e-07,1.89366086448109e-10,-6.06938553515543e-14,6.46380367651866e-18
"Dm_00010187-RA",0,0.0801714449493144,-0.000524797239010854,1.00863926486418e-06,-7.57089880610343e-10,2.31275443545005e-13,-2.40254129834905e-17
"Dm_00010149-RA",3.9160024544481,0,-2.18844027138747e-05,5.52645780333383e-08,-4.54533372235785e-11,1.44429324571303e-14,-1.53027890564117e-18
"Dm_00010749-RA",3.70587387231936,-0.0147411394001179,0.000128015621297788,-2.70435816521499e-07,2.11515415510669e-10,-6.59170873049637e-14,6.92140396635731e-18
"Dm_00009621-RA",4.10450879744018,0.00274954903462734,-2.58410232487853e-06,8.90440001995639e-10,-9.86680244438602e-14,0,0
