target_id	length	eff_length	est_counts	tpm
Dm_00011427-RA	2382	2183.62	12	1.70115
Dm_00011428-RA	552	353.974	0	0
Dm_00011430-RA	2487	2288.62	25	3.38147
Dm_00010398-RA	498	300.164	493	508.426
Dm_00010397-RA	423	226.367	0	0
Dm_00008146-RA	2091	1892.62	57	9.32288
Dm_00008145-RA	858	659.622	0	0
Dm_00010588-RA	366	171.677	27	48.6845
Dm_00010589-RA	528	330.009	303	284.221
Dm_00010771-RA	1713	1514.62	1	0.204378
Dm_00011703-RA	1650	1451.62	23	4.90471
Dm_00011702-RA	381	186.005	0	0
Dm_00011701-RA	462	264.73	0	0
Dm_00011023-RA	1464	1265.62	27	6.60387
Dm_00011024-RA	1653	1454.62	106	22.5577
Dm_00010752-RA	1983	1784.62	365	63.312
Dm_00010751-RA	669	470.726	0	0
Dm_00010750-RA	522	324.009	0	0
Dm_00010509-RA	870	671.622	5	2.30454
Dm_00010510-RA	1053	854.622	22	7.9687
Dm_00009648-RA	732	533.676	58	33.6426
Dm_00009649-RA	1992	1793.62	42	7.24866
Dm_00011891-RA	2352	2153.62	185	26.5914
Dm_00011892-RA	1017	818.622	234	88.4854
Dm_00011563-RA	1374	1175.62	16	4.213
Dm_00011342-RA	1950	1751.62	78	13.7846
Dm_00011343-RA	1719	1520.62	1	0.203572
Dm_00010572-RA	1266	1067.62	89	25.8055
Dm_00011337-RA	1281	1082.62	0	0
Dm_00011075-RA	2080	1881.62	272	44.7482
Dm_00011074-RA	534	336.009	447	411.809
Dm_00011076-RA	1533	1334.62	8	1.85554
Dm_00011077-RA	984	785.622	187	73.683
Dm_00011139-RA	582	383.936	0	0
Dm_00008816-RA	2793	2594.62	0	0
Dm_00009821-RA	1383	1184.62	0	0
Dm_00009820-RA	966	767.622	0	0
Dm_00009822-RA	5202	5003.62	63	3.89758
Dm_00011954-RA	705	506.676	0	0
Dm_00011953-RA	489	291.312	0	0
Dm_00010482-RA	552	353.974	11	9.61967
Dm_00010483-RA	801	602.622	0	0
Dm_00011071-RA	2811	2612.62	37	4.38394
Dm_00011158-RA	2226	2027.62	54	8.24415
Dm_00011159-RA	3204	3005.62	392	40.373
Dm_00008859-RA	828	629.622	0	0
Dm_00011603-RA	1143	944.622	0	0
Dm_00011602-RA	291	103.59	0	0
Dm_00010116-RA	906	707.622	108	47.2456
Dm_00010526-RA	1632	1433.62	2	0.431851
Dm_00010851-RA	2223	2024.62	95	14.5251
Dm_00010850-RA	1452	1253.62	86	21.2359
Dm_00010846-RA	669	470.726	30	19.7284
Dm_00010852-RA	969	770.622	55	22.0933
Dm_00010849-RA	1017	818.622	54	20.4197
Dm_00010847-RA	267	83.8149	0	0
Dm_00010848-RA	966	767.622	7	2.82286
Dm_00010360-RA	2967	2768.62	8	0.894469
Dm_00010359-RA	747	548.622	52.5153	29.6314
Dm_00008114-RA	2289	2090.62	36	5.33048
Dm_00010687-RA	1272	1073.62	158	45.5559
Dm_00010689-RA	813	614.622	0	0
Dm_00010688-RA	3978	3779.62	74	6.0607
Dm_00011676-RA	1386	1187.62	0	0
Dm_00011127-RA	1149	950.622	0	0
Dm_00011129-RA	579	380.936	5	4.06309
Dm_00011128-RA	372	177.482	0	0
Dm_00009172-RA	1089	890.622	6	2.08544
Dm_00010094-RA	588	389.936	0	0
Dm_00010341-RA	867	668.622	42	19.445
Dm_00010342-RA	693	494.726	12	7.50855
Dm_00010343-RA	153	7.33065	0	0
Dm_00011156-RA	501	303.134	152	155.22
Dm_00011157-RA	621	422.816	52	38.0707
Dm_00010519-RA	1749	1550.62	8	1.59707
Dm_00010597-RA	582	383.936	0	0
Dm_00011289-RA	1365	1166.62	57	15.1246
Dm_00011288-RA	915	716.622	178	76.8898
Dm_00010410-RA	1182	983.622	222	69.8657
Dm_00010409-RA	795	596.622	0	0
Dm_00011132-RA	612	413.816	90	67.3247
Dm_00009018-RA	3216	3017.62	411	42.1615
Dm_00011853-RA	1089	890.622	80	27.8058
Dm_00011855-RA	1080	881.622	29	10.1825
Dm_00011852-RA	1362	1163.62	25	6.6507
Dm_00011856-RA	1818	1619.62	212	40.5192
Dm_00011854-RA	195	30.45	47	477.804
Dm_00010322-RA	507	309.103	0	0
Dm_00010323-RA	666	467.726	0	0
Dm_00010326-RA	792	593.622	26	13.5582
Dm_00010324-RA	822	623.622	0	0
Dm_00010325-RA	1092	893.622	0	0
Dm_00011877-RA	591	392.936	0	0
Dm_00011876-RA	357	163.219	0	0
Dm_00011570-RA	1380	1181.62	58	15.1946
Dm_00011572-RA	771	572.622	68	36.7604
