"","LT_Time5_1","LT_Time5_2","LT_Time5_3","LT_Time5_4","LT_Time60_1","LT_Time60_2","LT_Time60_3","LT_Time60_4","LT_Time180_1","LT_Time180_2","LT_Time180_3","LT_Time180_4","LT_Time720_1","LT_Time720_2","LT_Time720_3","LT_Time720_4","LT_Time1440_1","LT_Time1440_2","LT_Time1440_3","LT_Time2880_1","LT_Time2880_2","LT_Time2880_3","LT_Time2880_4","LT_Time4320_1","LT_Time4320_2","LT_Time4320_3","LT_Time4320_4"
"Dm_00004537-RA",35.1827897940265,12.8909030134499,12.0863720664213,13.0170417830898,50.2745201256894,20.3360108294884,21.8809613757408,38.691021083343,25.0278238358757,9.35503686420956,7.6949586960854,102.166376831036,25.103970888367,67.7911792289208,19.6288075485388,11.0468756909451,14.7376595233342,66.2843013657897,70.1716484839954,338.43160505148,54.277406880819,294.335954071345,90.5397169663647,231.527383280579,220.426234520366,112.862651517431,127.627013684229
"Dm_00005169-RA",42.5644650369149,55.0011861907196,50.4916664830871,54.1278256423418,56.8276143986917,60.7506146298642,61.6365109175797,64.3107512601512,85.6580322956486,63.7647914997272,134.743638444219,96.9749958945,96.1729588962793,67.7911792289208,70.320679470008,100.300609966649,85.3872644547814,85.1959240718484,84.6699229641597,94.1004950630944,50.2682802362131,121.842703740815,98.2700004533547,111.830348353377,105.753626966418,121.703923057965,126.667412077581
"Dm_00005042-RA",270.629470268493,284.029563063013,239.46830636274,286.704464589573,247.481700903852,212.112315487322,262.879719063477,269.922157219943,271.94867119226,265.059377819271,362.317948817808,315.22065046649,431.010429759428,675.304439241942,362.561226806749,956.433476014891,375.126611990846,688.682656563205,321.281762480442,1232.22121956305,253.654358860646,1527.53606756816,915.737260861792,700.443602583017,1100.8570325179,1497.66773836622,1328.32852400296
"Dm_00017523-RA",169.490932849697,328.0734816923,165.029809243379,287.528327993566,1248.67163530098,514.063463626436,1253.99481461816,638.009709147963,1278.70814585855,445.815894701297,554.364471169046,1330.86241689047,957.486664305604,2448.30451138295,1263.67595004234,2945.37323109823,500.320750622055,3023.23821992102,1265.40939662874,3459.26626938961,423.271255363205,5088.41018878789,2516.23379921891,1954.79448921704,2280.71075023963,2394.78392097915,2723.34935966799
"Dm_00019668-RA",34.9910579695359,25.3521092597848,27.6744033296562,27.0227196509713,73.0055658851661,78.2550290147403,52.5451255572367,79.8655874389276,59.669994633094,33.118981082489,50.7539828890739,44.6458760542131,38.1863219146991,15.6441182835971,32.3970610024427,41.1747184844316,56.5196839451578,53.9262112806425,38.2754446276338,50.847285051637,35.9279426228148,32.9228552833149,37.9165665466041,27.7647761429075,28.0310818465206,39.9494491831526,30.7072514127469
"Dm_00019670-RA",1.43798868367956,0.214848383557499,0.790697237990178,0.823863403993026,0.307176294046982,1.54450715160672,0.154091277293949,1.04570327252278,0.91565209155643,4.08610805563176,0.491167576345876,0.622965712384368,2.47503938336013,7.82205914179855,3.14442062670768,1.12979410475574,0.759673171305884,2.43416925919567,0.579930979206573,9.90531526979941,2.31295767958036,4.64296677072389,13.5664779386932,22.520318427025,30.5793620143861,30.9990261421184,32.8663550277056
"Dm_00019608-RA",25.3086008327602,32.0124091500673,25.0763981191171,15.8181773566661,99.7299034672536,64.611882508881,121.115743953044,117.903043976944,72.336515232958,62.0443249499875,90.3748340476412,102.789342543421,36.7720136956362,104.294121890647,57.2665695954944,83.4792310736189,64.1164156582166,87.6300933310441,100.907990381944,191.172584707129,26.367717547216,194.582516482156,157.40592992971,98.8734528200206,240.81247586329,254.650450667473,305.873012119158
"Dm_00018695-RA",81.102561759527,77.989963231372,71.5016216639689,59.5653241086958,142.017839947722,189.202126071823,157.63537667171,228.616877955293,193.049982636481,126.23923308715,140.146481784023,134.352938637562,41.7220924623564,41.7176487562589,62.7931270606169,35.9023459955715,113.343237158838,56.3603805398382,104.96750723639,40.2816154305176,81.5703074998672,25.7473611831052,29.7418939425197,29.7700099754508,31.8535020983188,33.8369651551292,32.3865542243815
"Dm_00019553-RA",0.958659122453038,0.214848383557499,1.24252423112742,0.247159021197908,0,0,0,0.261425818130696,2.44173891081715,2.25811234653334,0.818612627243127,1.03827618730728,3.18219349289159,5.21470609453237,0.0952854735365963,3.51491499257343,0,0,0.579930979206573,3.96212610791976,0.462591535916071,6.75340621196203,5.73966374329328,6.01570149762996,10.193120671462,6.98569603202668,7.19701204986255
"Dm_00019640-RA",57.423681434937,51.1339152866846,41.6810401169108,54.8693027059356,31.2295898947765,36.2959180627578,33.5918984500809,28.4954141762458,45.1721698501172,38.710497369143,54.192155923495,49.0066360409037,36.4184366408705,28.680883519928,42.9737485650049,36.7810747437148,27.0443648984895,39.5084395146374,38.8553756068404,34.6686034442979,51.8102520226,35.7367745382991,59.1359294763551,34.8602189349839,22.9345215107896,26.5238146216013,26.6289445844914
