"Dm_00005200-RA",2	"Dm_00005200-RA",2
"Dm_00005229-RA",2	"Dm_00005229-RA",7
"Dm_00005267-RA",2	"Dm_00005267-RA",5
"Dm_00005275-RA",2	"Dm_00005275-RA",2
"Dm_00005277-RA",2	"Dm_00005277-RA",2
"Dm_00005302-RA",2	"Dm_00005302-RA",3
"Dm_00005334-RA",2	"Dm_00005334-RA",1
"Dm_00005338-RA",2	"Dm_00005338-RA",7
"Dm_00005355-RA",2	"Dm_00005355-RA",4
"Dm_00005361-RA",1	"Dm_00005361-RA",4
"Dm_00005448-RA",1	"Dm_00005448-RA",7
"Dm_00005454-RA",1	"Dm_00005454-RA",4
"Dm_00005463-RA",2	"Dm_00005463-RA",5
"Dm_00005488-RA",2	"Dm_00005488-RA",2
"Dm_00005491-RA",1	"Dm_00005491-RA",4
"Dm_00005497-RA",2	"Dm_00005497-RA",6
"Dm_00005498-RA",2	"Dm_00005498-RA",7
"Dm_00005500-RA",2	"Dm_00005500-RA",7
"Dm_00005515-RA",1	"Dm_00005515-RA",3
"Dm_00005516-RA",1	"Dm_00005516-RA",3
"Dm_00005520-RA",2	"Dm_00005520-RA",2
"Dm_00005528-RA",2	"Dm_00005528-RA",2
"Dm_00005535-RA",1	"Dm_00005535-RA",4
"Dm_00005580-RA",2	"Dm_00005580-RA",8
"Dm_00005593-RA",1	"Dm_00005593-RA",6
"Dm_00005618-RA",2	"Dm_00005618-RA",1
"Dm_00005620-RA",2	"Dm_00005620-RA",2
"Dm_00005628-RA",2	"Dm_00005628-RA",8
"Dm_00005681-RA",1	"Dm_00005681-RA",6
"Dm_00005693-RA",1	"Dm_00005693-RA",4
"Dm_00005701-RA",2	"Dm_00005701-RA",2
"Dm_00005737-RA",1	"Dm_00005737-RA",4
"Dm_00005742-RA",1	"Dm_00005742-RA",4
"Dm_00005751-RA",1	"Dm_00005751-RA",3
"Dm_00005756-RA",2	"Dm_00005756-RA",8
"Dm_00005779-RA",2	"Dm_00005779-RA",8
"Dm_00005782-RA",2	"Dm_00005782-RA",5
"Dm_00005819-RA",2	"Dm_00005819-RA",2
"Dm_00005876-RA",2	"Dm_00005876-RA",1
"Dm_00005880-RA",2	"Dm_00005880-RA",2
"Dm_00005897-RA",2	"Dm_00005897-RA",6
"Dm_00005898-RA",2	"Dm_00005898-RA",2
"Dm_00005907-RA",2	"Dm_00005907-RA",2
"Dm_00005920-RA",1	"Dm_00005920-RA",3
"Dm_00005923-RA",2	"Dm_00005923-RA",8
"Dm_00005935-RA",2	"Dm_00005935-RA",2
"Dm_00005937-RA",2	"Dm_00005937-RA",5
"Dm_00005944-RA",1	"Dm_00005944-RA",7
"Dm_00005949-RA",1	"Dm_00005949-RA",7
"Dm_00005965-RA",1	"Dm_00005965-RA",1
"Dm_00005966-RA",1	"Dm_00005966-RA",4
"Dm_00005971-RA",2	"Dm_00005971-RA",3
"Dm_00006026-RA",2	"Dm_00006026-RA",2
"Dm_00006036-RA",2	"Dm_00006036-RA",5
"Dm_00006042-RA",1	"Dm_00006042-RA",4
"Dm_00006071-RA",1	"Dm_00006071-RA",6
"Dm_00006072-RA",2	"Dm_00006072-RA",8
"Dm_00006087-RA",2	"Dm_00006087-RA",1
"Dm_00006125-RA",2	"Dm_00006125-RA",1
"Dm_00006177-RA",2	"Dm_00006177-RA",5
"Dm_00006184-RA",2	"Dm_00006184-RA",2
"Dm_00006200-RA",1	"Dm_00006200-RA",4
"Dm_00006205-RA",2	"Dm_00006205-RA",1
"Dm_00006213-RA",1	"Dm_00006213-RA",1
"Dm_00006219-RA",2	"Dm_00006219-RA",2
"Dm_00006228-RA",2	"Dm_00006228-RA",1
"Dm_00006230-RA",2	"Dm_00006230-RA",1
"Dm_00006233-RA",1	"Dm_00006233-RA",4
"Dm_00006255-RA",2	"Dm_00006255-RA",1
"Dm_00006259-RA",2	"Dm_00006259-RA",8
"Dm_00006275-RA",1	"Dm_00006275-RA",6
"Dm_00006285-RA",2	"Dm_00006285-RA",2
"Dm_00006305-RA",1	"Dm_00006305-RA",6
"Dm_00006308-RA",1	"Dm_00006308-RA",3
"Dm_00006332-RA",1	"Dm_00006332-RA",4
"Dm_00006338-RA",2	"Dm_00006338-RA",1
"Dm_00006372-RA",1	"Dm_00006372-RA",4
"Dm_00006379-RA",1	"Dm_00006379-RA",6
"Dm_00006410-RA",1	"Dm_00006410-RA",3
"Dm_00006417-RA",1	"Dm_00006417-RA",4
"Dm_00006483-RA",2	"Dm_00006483-RA",7
"Dm_00006488-RA",2	"Dm_00006488-RA",3
"Dm_00006513-RA",2	"Dm_00006513-RA",2
"Dm_00006516-RA",1	"Dm_00006516-RA",4
"Dm_00006565-RA",2	"Dm_00006565-RA",7
"Dm_00006596-RA",2	"Dm_00006596-RA",1
"Dm_00006619-RA",2	"Dm_00006619-RA",2
"Dm_00006624-RA",1	"Dm_00006624-RA",4
"Dm_00006649-RA",2	"Dm_00006649-RA",5
"Dm_00006651-RA",1	"Dm_00006651-RA",4
"Dm_00006653-RA",1	"Dm_00006653-RA",6
"Dm_00006672-RA",2	"Dm_00006672-RA",8
"Dm_00006688-RA",2	"Dm_00006688-RA",6
"Dm_00006742-RA",2	"Dm_00006742-RA",5
"Dm_00006768-RA",2	"Dm_00006768-RA",8
"Dm_00006773-RA",2	"Dm_00006773-RA",2
"Dm_00006805-RA",2	"Dm_00006805-RA",2
