"","gene_ID","module"
"683","Dm_00001119-RA",3
"684","Dm_00001120-RA",3
"685","Dm_00001122-RA",6
"686","Dm_00001125-RA",10
"687","Dm_00001126-RA",7
"688","Dm_00001127-RA",10
"689","Dm_00001130-RA",4
"690","Dm_00001133-RA",6
"691","Dm_00001135-RA",4
"692","Dm_00001136-RA",3
"693","Dm_00001137-RA",3
"694","Dm_00001139-RA",7
"695","Dm_00001140-RA",3
"696","Dm_00001143-RA",4
"697","Dm_00001144-RA",3
"698","Dm_00001145-RA",13
"699","Dm_00001147-RA",9
"700","Dm_00001148-RA",10
"701","Dm_00001149-RA",16
"702","Dm_00001154-RA",3
"703","Dm_00001155-RA",3
"704","Dm_00001156-RA",3
"705","Dm_00001157-RA",4
"706","Dm_00001159-RA",3
"707","Dm_00001163-RA",2
"708","Dm_00001165-RA",2
"709","Dm_00001167-RA",10
"710","Dm_00001169-RA",10
"711","Dm_00001172-RA",10
"712","Dm_00001173-RA",7
"713","Dm_00001174-RA",7
"714","Dm_00001176-RA",16
"715","Dm_00001177-RA",2
"716","Dm_00001178-RA",4
"717","Dm_00001179-RA",3
"718","Dm_00001180-RA",3
"719","Dm_00001182-RA",6
"720","Dm_00001184-RA",10
"721","Dm_00001187-RA",3
"722","Dm_00001188-RA",3
"723","Dm_00001189-RA",4
"724","Dm_00001190-RA",3
"725","Dm_00001192-RA",4
"726","Dm_00001194-RA",2
"727","Dm_00001195-RA",2
"728","Dm_00001196-RA",3
"729","Dm_00001199-RA",7
"730","Dm_00001200-RA",6
"731","Dm_00001202-RA",4
"732","Dm_00001203-RA",10
"733","Dm_00001204-RA",2
"734","Dm_00001205-RA",3
"735","Dm_00001206-RA",3
"736","Dm_00001209-RA",4
"737","Dm_00001210-RA",2
"738","Dm_00001211-RA",10
"739","Dm_00001212-RA",7
"740","Dm_00001214-RA",2
"741","Dm_00001215-RA",2
"742","Dm_00001216-RA",3
"743","Dm_00001217-RA",7
"744","Dm_00001220-RA",3
"745","Dm_00001221-RA",10
"746","Dm_00001222-RA",4
"747","Dm_00001223-RA",16
