Orthogroup	A_hypochondriacus.proteins	S_lycopersicum.proteins
OG0000155	AH012856-RA, AH012857-RA, AH012863-RA, AH012861-RA, AH012858-RA, AH012846-RA, AH012847-RA, AH012848-RA, AH022179-RA, AH012859-RA, AH012860-RA, AH012864-RA, AH012865-RA, AH012862-RA, AH010202-RA, AH022174-RA, AH010200-RA, AH012855-RA	Solyc04g011800.1.1, Solyc04g011810.1.1, Solyc04g011790.1.1, Solyc04g011870.1.1, Solyc04g011850.1.1, Solyc04g011830.1.1, Solyc04g011840.1.1, Solyc04g011780.1.1, Solyc04g011860.1.1, Solyc04g011820.1.1, Solyc05g051730.1.1, Solyc05g051720.1.1, Solyc04g011880.1.1, Solyc04g053110.1.1, Solyc00g028960.1.1
OG0000156	AH003843-RA, AH008358-RA, AH020988-RA, AH012748-RA, AH014386-RA	Solyc06g074915.1.1
OG0000157	AH001951-RA	Solyc03g116840.2.1
OG0000157	AH019804-RA	Solyc10g080090.2.1, Solyc12g009640.1.1
OG0000159	AH009478-RA, AH009480-RA	Solyc10g005060.3.1
OG0000159	AH020974-RA	Solyc06g060220.1.1
OG0000159	AH011882-RA	Solyc03g080180.3.1
OG0000160	AH016892-RA, AH023753-RA	Solyc04g082610.3.1
OG0000160	AH005973-RA	Solyc02g082480.3.1
OG0000162	AH017198-RA, AH002995-RA	Solyc03g119240.3.1, Solyc12g036325.1.1
OG0000162	AH022861-RA, AH022859-RA	Solyc02g086270.3.1
OG0000162	AH005478-RA, AH004130-RA	Solyc05g008930.3.1
OG0000162	AH000903-RA	Solyc05g009000.3.1, Solyc05g008940.3.1, Solyc05g008990.3.1, Solyc05g008970.1.1, Solyc05g008980.2.1, Solyc05g008950.3.1, Solyc05g008960.3.1, Solyc04g007400.3.1, Solyc04g007390.3.1, Solyc05g010530.3.1, Solyc05g009010.1.1
OG0000163	AH014552-RA	Solyc06g083960.2.1, Solyc07g041150.3.1
OG0000163	AH002639-RA, AH017756-RA	Solyc06g008530.2.1
OG0000164	AH021228-RA, AH014343-RA	Solyc03g098280.3.1, Solyc06g072300.3.1
OG0000164	AH001454-RA, AH000392-RA	Solyc06g074730.3.1
OG0000164	AH020804-RA, AH014173-RA	Solyc12g006790.2.1
OG0000165	AH001450-RA, AH009997-RA, AH010091-RA	Solyc11g007790.1.1, Solyc10g076440.1.1, Solyc02g037540.2.1
OG0000168	AH020525-RA, AH006562-RA, AH006510-RA	Solyc10g076940.2.1
OG0000168	AH007811-RA	Solyc01g096740.3.1
OG0000169	AH003317-RA	Solyc05g055870.3.1, Solyc04g050990.3.1, Solyc12g098200.2.1, Solyc12g044930.2.1, Solyc12g098190.2.1, Solyc05g053620.3.1, Solyc04g056735.1.1, Solyc04g056710.2.1, Solyc04g056680.2.1, Solyc12g096890.1.1
OG0000169	AH014133-RA, AH023348-RA	Solyc12g098195.1.1
OG0000170	AH013750-RA	Solyc06g030490.3.1
OG0000170	AH007222-RA	Solyc05g055060.3.1, Solyc09g090060.3.1, Solyc06g053630.3.1
