Orthogroup	A_vesiculosa.proteins	P_amilis.proteins
OG0000064	Av_00024276-RA	FUN_029339-T1, FUN_032121-T1, FUN_022587-T1, FUN_017571-T1, FUN_018284-T1, FUN_022355-T1, FUN_035558-T1, FUN_022043-T1, FUN_013462-T1, FUN_009817-T1, FUN_022525-T1, FUN_052962-T1, FUN_003374-T1, FUN_035412-T1, FUN_039422-T1, FUN_000582-T1, FUN_045973-T1, FUN_003472-T1, FUN_041265-T1, FUN_012344-T1, FUN_034364-T1, FUN_053175-T1, FUN_017536-T1, FUN_010893-T1, FUN_032013-T1, FUN_034457-T1, FUN_031477-T1, FUN_041636-T1, FUN_003648-T1, FUN_025217-T1, FUN_040506-T1, FUN_046466-T1, FUN_041427-T1, FUN_028677-T1, FUN_000519-T1, FUN_036473-T1, FUN_046263-T1, FUN_048264-T1, FUN_038848-T1, FUN_007700-T1, FUN_038344-T1, FUN_010069-T1, FUN_038002-T1, FUN_051324-T1, FUN_026517-T1, FUN_016524-T1, FUN_039361-T1, FUN_021537-T1, FUN_016815-T1, FUN_004590-T1, FUN_050754-T1, FUN_028586-T1, FUN_038161-T1, FUN_025884-T1, FUN_004301-T1, FUN_013435-T1, FUN_031547-T1, FUN_038849-T1, FUN_048027-T1, FUN_007046-T1, FUN_017572-T1, FUN_033641-T1, FUN_004968-T1, FUN_031478-T1, FUN_022044-T1, FUN_051230-T1, FUN_018144-T1, FUN_031916-T1, FUN_029038-T1, FUN_048221-T1, FUN_031332-T1, FUN_048263-T1, FUN_038345-T1, FUN_006084-T1, FUN_047806-T1, FUN_038471-T1, FUN_021999-T1, FUN_044843-T1, FUN_022038-T1, FUN_009179-T1, FUN_029385-T1, FUN_049445-T1, FUN_037335-T1, FUN_037294-T1, FUN_049704-T1, FUN_029343-T1, FUN_034456-T1, FUN_010070-T1, FUN_049619-T1, FUN_046901-T1, FUN_022456-T1, FUN_021306-T1, FUN_038045-T1, FUN_043711-T1, FUN_006625-T1, FUN_020109-T1, FUN_014366-T1, FUN_020588-T1, FUN_034459-T1, FUN_034897-T1, FUN_041188-T1, FUN_008507-T1, FUN_043295-T1, FUN_028854-T1, FUN_049484-T1, FUN_039151-T1, FUN_010945-T1, FUN_004296-T1, FUN_007854-T1, FUN_045682-T1, FUN_025511-T1, FUN_009183-T1, FUN_018113-T1, FUN_021079-T1, FUN_012055-T1, FUN_039165-T1, FUN_046166-T1, FUN_034344-T1, FUN_012391-T1, FUN_028737-T1, FUN_045315-T1, FUN_031430-T1, FUN_031733-T1, FUN_028587-T1, FUN_018142-T1, FUN_048223-T1, FUN_031331-T1, FUN_002832-T1, FUN_013297-T1, FUN_048226-T1, FUN_024120-T1, FUN_004967-T1, FUN_019628-T1, FUN_013343-T1, FUN_031546-T1, FUN_049877-T1, FUN_013213-T1, FUN_043532-T1, FUN_051204-T1, FUN_007439-T1, FUN_041804-T1, FUN_022039-T1, FUN_012352-T1, FUN_000027-T1
OG0000065	Av_00001967-RA	FUN_023948-T1, FUN_023949-T1, FUN_023951-T1, FUN_023953-T1, FUN_030381-T1
OG0000067	Av_00014269-RA, Av_00010147-RA, Av_00012703-RA, Av_00018513-RA	FUN_027482-T1
OG0000067	Av_00024312-RA, Av_00012775-RA, Av_00024310-RA, Av_00018514-RA	FUN_038294-T1
OG0000070	Av_00000389-RA	FUN_010235-T2, FUN_038594-T1
OG0000070	Av_00012230-RA, Av_00020252-RA, Av_00005363-RA, Av_00002635-RA	FUN_031965-T1, FUN_025355-T1, FUN_010235-T1
OG0000070	Av_00013415-RA, Av_00023180-RA	FUN_047896-T1, FUN_009640-T1
OG0000071	Av_00011182-RA, Av_00001686-RA	FUN_025121-T1, FUN_050310-T1, FUN_031359-T1, FUN_031363-T1
OG0000071	Av_00009962-RA	FUN_045262-T1
OG0000071	Av_00021173-RA	FUN_006200-T1
