Orthogroup	A_coerulea.proteins	G_max.proteins
OG0000037	Aqcoe2G038300.1.p, Aqcoe4G241300.1.p, Aqcoe2G038700.1.p, Aqcoe4G135200.1.p, Aqcoe2G038600.1.p, Aqcoe2G038500.1.p, Aqcoe2G038500.2.p, Aqcoe2G038400.1.p, Aqcoe6G102400.1.p, Aqcoe6G102200.2.p, Aqcoe6G102200.1.p, Aqcoe6G101900.1.p, Aqcoe6G102300.1.p, Aqcoe7G348700.1.p	GmISU01.19G013000.1.p, GmISU01.13G046600.1.p, GmISU01.19G013200.2.p, GmISU01.19G013600.1.p, GmISU01.19G013400.1.p, GmISU01.13G046300.1.p, GmISU01.19G013300.1.p, GmISU01.19G013100.1.p, GmISU01.15G176900.1.p, GmISU01.13G247700.1.p, GmISU01.01G102900.1.p, GmISU01.02G070700.1.p, GmISU01.06G032400.1.p, GmISU01.04G033400.1.p, GmISU01.06G032200.1.p, GmISU01.06G032300.1.p, GmISU01.03G065100.2.p, GmISU01.16G078300.1.p, GmISU01.16G078200.1.p, GmISU01.16G078400.1.p
OG0000037	Aqcoe5G170500.1.p, Aqcoe5G170600.1.p, Aqcoe5G170700.1.p	GmISU01.01G143300.1.p, GmISU01.11G054400.1.p, GmISU01.11G054500.1.p, GmISU01.01G143400.1.p
OG0000038	Aqcoe3G139600.1.p	GmISU01.04G152300.1.p
OG0000038	Aqcoe5G388200.1.p, Aqcoe5G394300.1.p, Aqcoe4G206500.1.p, Aqcoe3G138700.1.p	GmISU01.05G039200.1.p
OG0000038	Aqcoe3G138900.1.p, Aqcoe3G138800.1.p, Aqcoe3G090200.1.p, Aqcoe3G139700.1.p, Aqcoe3G139200.1.p, Aqcoe3G139000.1.p, Aqcoe3G139400.1.p, Aqcoe3G139500.1.p, Aqcoe3G139100.1.p, Aqcoe3G134000.1.p, Aqcoe3G134100.1.p, Aqcoe4G230500.1.p, Aqcoe4G229900.1.p, Aqcoe4G234000.1.p, Aqcoe1G213100.1.p, Aqcoe4G234300.1.p, Aqcoe4G254400.1.p, Aqcoe4G254600.1.p, Aqcoe7G243900.1.p, Aqcoe1G277000.1.p, Aqcoe7G146400.1.p, Aqcoe7G138100.1.p, Aqcoe6G196100.1.p, Aqcoe7G138500.1.p, Aqcoe4G281700.1.p, Aqcoe6G202500.1.p	GmISU01.09G112500.1.p, GmISU01.16G166000.1.p, GmISU01.09G112400.1.p, GmISU01.09G112300.1.p, GmISU01.16G165900.1.p, GmISU01.09G112800.1.p, GmISU01.09G216700.1.p, GmISU01.07G163600.1.p, GmISU01.13G152350.1.p
OG0000040	Aqcoe2G401200.1.p, Aqcoe2G401200.2.p, Aqcoe2G402700.1.p, Aqcoe0088s0001.1.p, Aqcoe2G398100.1.p, Aqcoe2G400800.2.p, Aqcoe2G400800.1.p, Aqcoe0088s0002.1.p, Aqcoe0088s0002.2.p, Aqcoe2G403000.3.p, Aqcoe2G403000.4.p, Aqcoe2G403000.1.p, Aqcoe2G403000.2.p, Aqcoe3G250900.1.p, Aqcoe2G400900.1.p, Aqcoe2G401000.1.p, Aqcoe6G274900.1.p, Aqcoe6G275200.1.p, Aqcoe1G247700.1.p, Aqcoe6G279600.1.p, Aqcoe6G279600.2.p, Aqcoe6G274800.1.p, Aqcoe2G401100.1.p, Aqcoe5G391600.1.p, Aqcoe7G140300.1.p, Aqcoe5G391500.1.p	GmISU01.10G230300.1.p, GmISU01.11G143200.1.p
OG0000040	Aqcoe3G028800.1.p, Aqcoe3G028400.1.p, Aqcoe3G028600.1.p	GmISU01.05G203400.1.p, GmISU01.08G040800.1.p, GmISU01.08G040900.1.p
OG0000041	Aqcoe6G223300.1.p	GmISU01.06G003500.1.p, GmISU01.04G003700.1.p, GmISU01.12G029300.1.p, GmISU01.11G098600.1.p
OG0000041	Aqcoe3G017900.1.p	GmISU01.14G064800.1.p, GmISU01.02G209100.1.p, GmISU01.20G011000.1.p, GmISU01.07G183700.1.p
OG0000041	Aqcoe2G373400.1.p, Aqcoe5G027300.1.p	GmISU01.10G146900.1.p, GmISU01.20G169600.1.p, GmISU01.02G005100.1.p, GmISU01.10G005900.1.p
