target_id	length	eff_length	est_counts	tpm
Dm_00011342-RA	1950	1761.19	326	35.0019
Dm_00011343-RA	1719	1530.19	36	4.44874
Dm_00010572-RA	1266	1077.19	155	27.2094
Dm_00011337-RA	1281	1092.19	1	0.173134
Dm_00011075-RA	2080	1891.19	925	92.4883
Dm_00011074-RA	534	345.511	479	262.153
Dm_00011076-RA	1533	1344.19	15	2.11014
Dm_00011077-RA	984	795.191	250	59.4496
Dm_00011139-RA	582	393.476	0	0
Dm_00008816-RA	2793	2604.19	3	0.217836
Dm_00009821-RA	1383	1194.19	12	1.90015
Dm_00009820-RA	966	777.191	0	0
Dm_00009822-RA	5202	5013.19	384	14.4843
Dm_00011954-RA	705	516.253	0	0
Dm_00011953-RA	489	300.675	0	0
Dm_00010482-RA	552	363.476	12	6.2429
Dm_00010483-RA	801	612.253	0	0
Dm_00011071-RA	2811	2622.19	107	7.71614
Dm_00011158-RA	2226	2037.19	130	12.0668
Dm_00011159-RA	3204	3015.19	3256	204.197
Dm_00008859-RA	828	639.191	0	0
Dm_00011603-RA	1143	954.191	0	0
Dm_00011602-RA	291	107.953	0	0
Dm_00010116-RA	906	717.191	206	54.3142
Dm_00010526-RA	1632	1443.19	12	1.57231
Dm_00010851-RA	2223	2034.19	197	18.3128
Dm_00010850-RA	1452	1263.19	606	90.7161
Dm_00010846-RA	669	480.303	91	35.8267
Dm_00010852-RA	969	780.191	37	8.96771
Dm_00010849-RA	1017	828.191	287	65.5288
Dm_00010847-RA	267	86.7739	0	0
Dm_00010848-RA	966	777.191	9	2.18975
Dm_00010360-RA	2967	2778.19	77	5.24094
Dm_00010359-RA	747	558.253	183.528	62.1659
Dm_00008114-RA	2289	2100.19	69	6.21256
Dm_00010687-RA	1272	1083.19	381	66.5121
Dm_00010689-RA	813	624.253	0	0
Dm_00010688-RA	3978	3789.19	508	25.3512
Dm_00011676-RA	1386	1197.19	0	0
Dm_00011127-RA	1149	960.191	0	0
Dm_00011129-RA	579	390.476	97	46.9741
Dm_00011128-RA	372	184.978	0	0
Dm_00009172-RA	1089	900.191	32	6.72196
Dm_00010094-RA	588	399.476	0	0
Dm_00010341-RA	867	678.191	48	13.3835
Dm_00010342-RA	693	504.253	33	12.375
Dm_00010343-RA	153	7.26378	0	0
Dm_00011156-RA	501	312.644	173	104.635
Dm_00011157-RA	621	432.393	96	41.983
Dm_00010519-RA	1749	1560.19	8	0.969601
Dm_00010597-RA	582	393.476	0	0
Dm_00011289-RA	1365	1176.19	53	8.52077
Dm_00011288-RA	915	726.191	310	80.7219
Dm_00010410-RA	1182	993.191	382	72.7296
Dm_00010409-RA	795	606.253	0	0
Dm_00011132-RA	612	423.436	97	43.3176
Dm_00009018-RA	3216	3027.19	1040	64.9642
Dm_00011853-RA	1089	900.191	158	33.1897
Dm_00011855-RA	1080	891.191	71	15.065
Dm_00011852-RA	1362	1173.19	82.4813	13.2944
Dm_00011856-RA	1818	1629.19	595	69.0598
Dm_00011854-RA	195	31.2809	36	217.622
Dm_00010322-RA	507	318.644	0	0
Dm_00010323-RA	666	477.303	2	0.792349
Dm_00010326-RA	792	603.253	101	31.6594
Dm_00010324-RA	822	633.191	0	0
