Orthogroup	S_lycopersicum.proteins	D_muscipula.proteins
OG0000144	Solyc04g012160.3.1, Solyc11g010130.2.1	Dm_00009755-RA
OG0000145	Solyc01g094210.2.1, Solyc01g099560.3.1, Solyc01g094240.3.1, Solyc01g094250.3.1, Solyc01g094260.3.1, Solyc01g094270.3.1, Solyc10g017570.3.1, Solyc01g094220.3.1	Dm_00017523-RA
OG0000146	Solyc09g015020.1.1, Solyc09g015000.3.1	Dm_00013981-RA, Dm_00004551-RA, Dm_00004550-RA
OG0000147	Solyc05g013650.2.1, Solyc05g013660.3.1	Dm_00012154-RA
OG0000147	Solyc02g093480.3.1	Dm_00005818-RA
OG0000147	Solyc06g075110.3.1, Solyc11g069550.1.1, Solyc06g010170.3.1	Dm_00004214-RA
OG0000148	Solyc06g076280.2.1	Dm_00003748-RA
OG0000148	Solyc05g053090.2.1	Dm_00012196-RA
OG0000148	Solyc10g086530.1.1, Solyc09g010920.1.1	Dm_00014512-RA
OG0000149	Solyc10g085630.2.1	Dm_00013011-RA
OG0000149	Solyc01g108790.2.1	Dm_00002696-RA
OG0000149	Solyc06g054520.1.1	Dm_00012150-RA
OG0000152	Solyc06g074780.1.1, Solyc06g074790.1.1	Dm_00004775-RA
OG0000153	Solyc09g007290.3.1	Dm_00003098-RA
OG0000153	Solyc12g027650.1.1	Dm_00004902-RA, Dm_00004472-RA
OG0000154	Solyc05g005190.3.1	Dm_00006672-RA, Dm_00009628-RA
OG0000155	Solyc04g011800.1.1, Solyc04g011810.1.1, Solyc04g011790.1.1, Solyc04g011870.1.1, Solyc04g011850.1.1, Solyc04g011830.1.1, Solyc04g011840.1.1, Solyc04g011780.1.1, Solyc04g011860.1.1, Solyc04g011820.1.1, Solyc05g051730.1.1, Solyc05g051720.1.1, Solyc04g011880.1.1, Solyc04g053110.1.1, Solyc00g028960.1.1	Dm_00014490-RA, Dm_00017503-RA
OG0000156	Solyc02g091980.2.1	Dm_00008466-RA
OG0000156	Solyc07g006750.3.1	Dm_00000763-RA
OG0000156	Solyc08g065910.1.1, Solyc12g008670.2.1	Dm_00015627-RA
OG0000156	Solyc11g069030.2.1, Solyc06g074920.2.1, Solyc06g074910.3.1, Solyc09g008250.3.1	Dm_00010080-RA, Dm_00011484-RA
OG0000157	Solyc10g007470.3.1	Dm_00017223-RA
OG0000157	Solyc03g116840.2.1	Dm_00002335-RA
OG0000157	Solyc10g080090.2.1, Solyc12g009640.1.1	Dm_00004388-RA
OG0000159	Solyc10g005060.3.1	Dm_00004560-RA
OG0000159	Solyc03g080180.3.1	Dm_00000193-RA
OG0000160	Solyc04g082610.3.1	Dm_00000160-RA
OG0000160	Solyc02g082480.3.1	Dm_00002270-RA, Dm_00012322-RA
OG0000162	Solyc05g008930.3.1	Dm_00020718-RA, Dm_00002774-RA
OG0000163	Solyc06g083960.2.1, Solyc07g041150.3.1	Dm_00002817-RA, Dm_00007859-RA
OG0000163	Solyc11g006220.2.1	Dm_00003550-RA
OG0000164	Solyc03g098280.3.1, Solyc06g072300.3.1	Dm_00019025-RA, Dm_00020584-RA, Dm_00020207-RA
OG0000164	Solyc06g074730.3.1	Dm_00014735-RA, Dm_00018986-RA
OG0000164	Solyc12g006790.2.1	Dm_00000108-RA
OG0000168	Solyc10g076940.2.1	Dm_00006284-RA
OG0000168	Solyc01g096740.3.1	Dm_00004247-RA, Dm_00004248-RA
OG0000169	Solyc05g055870.3.1, Solyc04g050990.3.1, Solyc12g098200.2.1, Solyc12g044930.2.1, Solyc12g098190.2.1, Solyc05g053620.3.1, Solyc04g056735.1.1, Solyc04g056710.2.1, Solyc04g056680.2.1, Solyc12g096890.1.1	Dm_00001981-RA
OG0000170	Solyc06g005800.3.1, Solyc06g076430.3.1	Dm_00013647-RA
OG0000170	Solyc05g055060.3.1, Solyc09g090060.3.1, Solyc06g053630.3.1	Dm_00003497-RA, Dm_00003545-RA
OG0000171	Solyc08g066660.1.1, Solyc03g120840.2.1, Solyc06g066540.1.1	Dm_00017813-RA, Dm_00000656-RA, Dm_00009503-RA
OG0000171	Solyc12g044390.2.1	Dm_00018421-RA
OG0000171	Solyc05g050830.2.1, Solyc01g090560.3.1, Solyc08g078410.1.1, Solyc08g078420.1.1	Dm_00010899-RA
OG0000172	Solyc09g030450.3.1	Dm_00001563-RA, Dm_00000012-RA
